loss,val_loss
0.09535413235425949,0.01580720953643322
0.017335442826151848,0.012334120459854603
0.013473025523126125,0.009606758132576942
0.01111531164497137,0.007450482342392206
0.008824405260384083,0.005388747435063124
0.006944415159523487,0.004689461085945368
0.006118311081081629,0.004642299376428127
0.005568369757384062,0.004320187959820032
0.005085558630526066,0.003853590926155448
0.004792030435055494,0.0033883906435221434
0.004610971547663212,0.003079572692513466
0.004424831364303827,0.0032289542723447084
0.0042660292237997055,0.0029979702085256577
0.003964525181800127,0.0034182723611593246
0.003510764567181468,0.002725280588492751
0.0032890979200601578,0.0022700149565935135
0.0031468968372792006,0.0023248603101819754
0.0029113800264894962,0.0026408385019749403
0.002824872499331832,0.0022766946349292994
0.002769625512883067,0.002915946301072836
0.0026815005112439394,0.002244616160169244
0.002587097231298685,0.002695995382964611
0.0025517502799630165,0.0027606941293925047
0.0024332082830369473,0.002410585293546319
0.0023903734982013702,0.002541610039770603
0.0023505063727498055,0.002092566341161728
0.0023168507032096386,0.0030318517237901688
0.0023025902919471264,0.0026935767382383347
0.0022378768771886826,0.0024880277924239635
0.0024784838315099478,0.002418822143226862
0.002183295553550124,0.0029185633175075054
0.0021553332917392254,0.002537235151976347
0.0021324725821614265,0.002759223338216543
0.002139556221663952,0.0024064595345407724
0.0021112917456775904,0.002446039579808712
0.0020955344662070274,0.002449332969263196
