,ghi,temp,wind,load,price,price_base,hour,hour_sin,hour_cos,p_pv,p_wind
2021-01-01 00:00:00+00:00,115.53,16.98,5.57,12.412735414653266,0,0.12,0.0,0.0,1.0,2.703402,0.23284764060356652
2021-01-01 01:00:00+00:00,255.73,17.56,5.65,12.774125593938574,0,0.12,1.0,0.25881904510252074,0.9659258262890683,5.984081999999999,0.25527606310013734
2021-01-01 02:00:00+00:00,383.12,18.09,5.8,12.635602472679281,0,0.12,2.0,0.49999999999999994,0.8660254037844387,8.965008,0.30112482853223593
2021-01-01 03:00:00+00:00,585.47,18.36,5.98,13.562549563779363,0,0.12,3.0,0.7071067811865475,0.7071067811865476,13.699997999999999,0.36301223593964344
2021-01-01 04:00:00+00:00,430.62,18.39,5.9,13.4950706409672,0,0.12,4.0,0.8660254037844386,0.5000000000000001,10.076508,0.3345541838134431
2021-01-01 05:00:00+00:00,615.42,18.37,5.66,12.441177452152598,0,0.12,5.0,0.9659258262890683,0.25881904510252074,14.400827999999997,0.2581768998628258
2021-01-01 06:00:00+00:00,460.0,18.21,5.39,9.828626083936586,0,0.12,6.0,1.0,6.123233995736766e-17,10.764,0.18726912208504798
2021-01-01 07:00:00+00:00,339.67,18.1,5.18,9.606584586181151,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,7.948278,0.14211566529492453
2021-01-01 08:00:00+00:00,202.62,17.78,4.83,12.251976296023905,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,4.741308,0.08406703703703705
2021-01-01 09:00:00+00:00,70.57,17.41,4.21,12.867595683272032,0,0.12,9.0,0.7071067811865476,-0.7071067811865475,1.6513379999999998,0.024301248285322364
2021-01-01 10:00:00+00:00,2.88,16.89,3.68,12.700075862207466,0,0.12,10.0,0.49999999999999994,-0.8660254037844387,0.067392,0.004313196159122088
2021-01-01 11:00:00+00:00,0.0,16.83,3.49,13.48116317329823,0,0.12,11.0,0.258819045102521,-0.9659258262890682,0.0,0.0016138408779149541
2021-01-01 12:00:00+00:00,0.0,16.9,3.28,14.503603584074726,0,0.12,12.0,1.2246467991473532e-16,-1.0,0.0,0.00030112482853223533
2021-01-01 13:00:00+00:00,0.0,16.98,3.14,13.65588780906777,0,0.12,13.0,-0.2588190451025208,-0.9659258262890683,0.0,3.7640603566529586e-05
2021-01-01 14:00:00+00:00,0.0,17.04,3.16,9.998460553478965,0,0.12,14.0,-0.4999999999999997,-0.8660254037844388,0.0,5.618655692729783e-05
2021-01-01 15:00:00+00:00,0.0,17.06,3.35,9.335059650911322,0,0.12,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0005881344307270236
2021-01-01 16:00:00+00:00,0.0,17.05,3.53,12.4447522668173,0,0.12,16.0,-0.8660254037844384,-0.5000000000000004,0.0,0.0020422085048010952
2021-01-01 17:00:00+00:00,0.0,17.05,3.59,12.814676346644323,0,0.12,17.0,-0.9659258262890683,-0.25881904510252063,0.0,0.002817270233196156
